heading,papers
objective 4: to complete the,1
"primary objective: create the ""dlc""",1
"function ""max"" (left, right : t)",1
return integer,1
a topic for ada 201z...,1
on stream_access and,1
ada.streams,1
package p is,1
package q is,1
type my_string is array,1
on the efficiency of child,1
and nested packages,1
type my_string is,1
can't say. different compilers will,1
parallel processing and,1
latency in multi-core,1
processors,1
tasks (70-93% load): 1520 sec.,1
tasks (70-93% load): 1195 sec.,1
learned battling something similar,1
"microseconds, (exchange of data",1
"s : string := ""abc"";",1
t : foo'class := ...;,1
on default discriminants,1
and mutable objects,1
on building a gnat cross,1
compiler for powerpc,1
by chance?,1
on unit recompilation with,1
gnat,1
would have expected engine control,1
think gnatmake -m corrects this,1
spark: what does it prove?,1
on loop assertions in,1
spark,1
if line'length > max_line_length,1
for i in line_size_type range,1
.. characters_to_copy loop,1
package strings is,1
subtype line_index is positive,1
subtype line_size_type is natural,1
subtype line_type is,1
type line_record is,1
record,1
function prepare_line(line : string),1
package body strings is,1
return line_record is,1
on the accessibility level of,1
access discriminants,1
spark_io in spark 9 &,1
ada 2005,1
package pack1 is,1
type rec is record,1
type rec2 (d : access rec),1
is limited record,1
function func (param : integer),1
procedure proc2 is,1
a : access rec;,1
a := func(1).d;   -- legal?,1
dirk craeynest,1
♦ oct 24-28,1
december 10,1
♦ june 20-24,1
acm annual international conference,1
"fairfax, virginia (washington dc area), usa",1
"october 24-28, 2010",1
udvar-hazy space museum,1
"hris lane, lockheed martin corporation",1
"indy cicalese et al, the mitre corporation",1
update on the forthcoming ada 2012 standard,1
preliminary call for papers,1
the ada connection,1
ada conference uk,1
th international conference on,1
reliable software technologies -,1
ada-europe 2011,1
"- 24 june 2011, edinburgh, uk",1
honorary chair,1
general information,1
schedule,1
tutorial chair,1
november 2010,1
january 2011,1
february 2011,1
march 2011,1
may 2011,1
exhibition chair,1
ndustrial chair,1
topics,1
publicity chair,1
finance chair,1
ocal chairs,1
all for regular papers,1
awards,1
all for industrial presentations,1
all for tutorials,1
all for workshops,1
ndustrial committee,1
all for exhibitors,1
grants for reduced student fees,1
ada-europe launches,1
about ada-europe,1
press contact,1
programming language,1
ravenscar profile,1
authors',1
experience,1
developing,1
device drivers and high-integrity,1
restrictions,1
ravenscar restrictions,1
other high-integrity restrictions,1
isting 1  two-step driver,1
protected driver is,1
private,1
protected body driver is,1
procedure start_io is,1
entry end_io when finished is,1
procedure handler is,1
entry start_io when ready is,1
a generic driver architecture,1
figure 1   generic driver architecture,1
communications drivers for ork+,1
and leon computers,1
hardware platform,1
the spacewire device,1
spacewire driver architecture,1
serial driver,1
"no 2, p 61-66.",1
executable requirements in a safety-critical,1
ontext with ada,1
"hristophe baillon, shanti bouchez-mongardé",1
after having described the behaviour driven,1
test driven development,1
what do i test first?,1
how far should i test?,1
bdd used with legacy software,1
presentation of xreq,1
step definitions,1
procedure given_this_step_works,1
test cases,1
calculator example,1
requirement: calculator,1
test case: add two numbers,1
"when i add ""3"" and ""5""",1
"then the result should be ""8""",1
test case: subtract two numbers,1
"when i subtract ""3"" to ""5""",1
"then the result should be ""2""",1
package calculator_steps is,1
test cases (2 passed),1
steps (4 passed),1
package body calculator_steps is,1
advanced features,1
"when i <operation> ""<op1>"" <link> ""<op2>""",1
"then the result should be ""<result>""",1
polymorphic callbacks for ada/c++ bindings,1
maciej sobczak,1
this is a general problem,1
the application context,1
figure 1. architecture of yami4,1
class callback,1
"#include ""base.h""",1
#include <cstdio>,1
#include <vector>,1
void registercallback(callback * c),1
void fireall(),1
ada binding with polymorphic callback,1
class wrappedcallback : public callback,1
"allbackfunctiontype function, void * object)",1
virtual void call(),1
"extern ""c"" void wrapped_registercallback(",1
"void * function_addr, void * object)",1
union,1
"extern ""c"" void wrapped_fireall()",1
"extern ""c"" typedef",1
procedure example is,1
type some_callback is,1
overriding procedure call,1
(self : in some_callback) is,1
type other_callback is,1
(self : in other_callback) is,1
maintenance impact,1
package callbacks is,1
procedure register_callback,1
package body callbacks is,1
package conversions is,1
new system.address_to_access_conversions,1
(c : in callback_access) is,1
procedure wrapped_register_callback,1
procedure fire_all is,1
performance considerations,1
inter-language issues,1
gems #71-#76: tokeneer discovery,1
essons,1
altran praxis,1
esson 1 - improper initialization,1
procedure getstartandendtimefromfile,1
(thefile     : in out file.t;,1
description :    out audittypes.descriptiont),1
--# global in out auditsystemfault;,1
"--# derives auditsystemfault,",1
"--#         thefile          from *,",1
--#                               thefile &,1
--#         description      from thefile;,1
is,1
ok : boolean;,1
firsttime : clock.timetextt;,1
lasttime  : clock.timetextt;,1
-- in call to getstring,1
timeok    : boolean := true;,1
-- begin getstartandendtimefromfile,1
firsttime := clock.printtime(clock.zerotime);,1
lasttime := clock.printtime(clock.zerotime);,1
description := converttimestotext;,1
end getstartandendtimefromfile;,1
if ok then,1
end if;,1
thefile : file.t;,1
thefile := logfiles (index);,1
end deletelogfile;,1
i : logfileindext;,1
thefile := logfiles (i);,1
--#        in out logfiles;,1
--#        in out logfilesstatus;,1
--#        in out logfileentries;,1
"--#         logfiles         from *,",1
"--#                               logfiles,",1
--#                               index &,1
"--#         logfilesstatus,",1
"--#         logfileentries   from *,",1
--#                               index;,1
function nextlistindex(value : logfileindext),1
return  logfileindext,1
result : logfileindext;,1
if value = logfileindext'last then,1
result := logfileindext'first;,1
result := value + 1;,1
return result;,1
end nextlistindex;,1
if success and then,1
(rawduration * 10 <= integer(durationt'last),1
rawduration * 10 >= integer(durationt'first)),1
value := durationt(rawduration * 10);,1
"result, result_tmp: logfileindext;",1
result_tmp := value + 1;,1
(rawduration <= integer(durationt'last) / 10,1
rawduration >= integer(durationt'first) / 10),1
vcs for procedure_readduration :,1
procedure_readduration_4.,1
h2:    rawduration__1 <= 2147483647 .,1
->,1
10 <= 2147483647 .,1
vcs for procedure_addelementtocurrentfile :,1
--# pre logfileentries(currentlogfile) <,1
--# post logfileentries(currentlogfile) =,1
thefile : file.t ;,1
thefile := logfiles (currentlogfile);,1
addelementtofile,1
"(thefile => thefile,",1
"elementid    => elementid,",1
"severity     => severity,",1
"user         => user,",1
description  => description);,1
logfiles (currentlogfile) := thefile;,1
logfileentries(currentlogfile) :=,1
end addelementtocurrentfile;,1
procedure addelementtocurrentfile,1
(elementid    : in     audittypes.elementt;,1
severity     : in     audittypes.severityt;,1
user         : in     audittypes.usertextt;,1
--# global in     clock.now;,1
--#        in     currentlogfile;,1
--#        in out auditsystemfault;,1
"--#                               clock.now,",1
"--#                               elementid,",1
"--#                               severity,",1
"--#                               user,",1
--# post logfileentries =,1
logfileentries(logfileindextype'first) := 10;,1
procedure verify(template       : in,1
maxfar         : in     iandatypes.fart;,1
matchresult    :    out,1
achievedfar    :    out,1
"--# derives auditlog.state,",1
"--#                                 template,",1
numericreturn : basictypes.unsigned32t;,1
"interface.verify(template     => template,",1
"maxfar       => maxfar,",1
"matchresult  => matchresult,",1
"achievedfar  => achievedfar,",1
bioreturn    => numericreturn);,1
if numericreturn /= valueof(bioapiok) then,1
matchresult := iandatypes.nomatch;,1
auditlog.addelementtolog,1
"(elementid    => audittypes.systemfault,",1
"severity     => audittypes.warning,",1
"user         => audittypes.nouser,",1
description  => makedescription,1
numericreturn));,1
end verify;,1
--#,1
t             : clock.timet;,1
t := clock.getnow;,1
if t = clock.zerotime then,1
matchresult := iandatypes.match;,1
achievedfar := 0;,1
"--#         auditlog.filestate from input,",1
national ada organizations,1
ada-belgium,1
ada-spain,1
ada in denmark,1
ada in sweden,1
ada-deutschland,1
ada switzerland,1
ada-france,1
andelfingen,1
paris,1
generating testing codes for behavior-driven,1
ning gao,1
zhi li*,1
shows its problem diagram.,1
generating user scenarios,1
feature: reservation system,1
scenario: vehicle license registration,1
testing codes,1
generation of behavior-driven,1
development c++ tests from abstract,1
state machine scenarios,1
"johannes kepler university, linz, austria",1
bdd for c++,1
s. bonfanti et al.,1
fig. 2. a simple avalla scenario,1
avalla,1
asmeta to c++,1
generation of bdd tests from avalla,1
"softw. 11(2), 21-32 (1994)",1
"shigeru tsubota, koji hirono",1
tianyao li,1
keywords-test,1
a. syntax of module definition,1
b. syntax of module reuse,1
others,1
future generation computer systems,1
characteristics of microservices,1
testing mechanisms for microservices,1
"analysis, retrieval, and testing)",1
system requirements,1
microservice retrieval,1
detection of cyclic dependency,1
construction of sdg,1
scenario-driven microservice testing,1
scenario-driven microservice retrieval,1
pre-processing,1
"rsi, ssj",1
+ (1 − w3),1
+ simt,1
+ simw,1
×,1
r and microservice s; sims,1
"rsi, rsj",1
experimental evaluations,1
• os: arch linux,1
• cpu: intel core i7-4790,1
• ram: 16 gb,1
• neo4j driver: bolt,1
• neo4j memory pagecache size: 4g,1
precision testing of microservice retrieval,1
efficiency testing of sdg generation,1
⏐⏐rel (ri) ∩ rankk (ri),1
⏐⏐,1
precisionk (ri) =,1
|rankk(ri)|,1
(1972) 146-160.,1
how to evaluate bdd scenarios' quality?,1
muddos research group - ppgcc,1
assiano moralles,1
"school of technology, pucrs",1
figure 3: research design,1
research goal and questions,1
table 1: participants profiles,1
table 2: interview questions,1
experi-,1
ence,1
ocation,1
nterview's participants selection,1
nterview design,1
iterature-informed quality attributes',1
nterpretations,1
participants' personal criteria,1
newly-redefined quality criteria,1
and proposed question-based,1
hecklist,1
newly-redefined quality attributes,1
istics,1
haracteristic,1
question-based checklist,1
geert poels (ed.),1
enterprise,1
nformation systems,1
of the future,1
"ghent, belgium, september 19-21, 2012",1
revised selected papers,1
a min tjoa,1
table of contents,1
full papers,1
short papers,1
process innovation: redesigning an enterprise,1
backbone system,1
t-enabled process innovation,1
t-enabled process innovation at work: spoms,1
short-,1
term,1
mid-,1
the spoms project,1
dashboard,1
product design,1
data,1
evel 0 process,1
ppid,1
an architected process solution,1
entralized process governance,1
project implementation challenges,1
ncreased sim card production capacity,1
for delivery to the market,1
for it-enabled process innovation,1
esson 3: project management,1
t landscape management using network analysis,1
d. simon and k. fischbach,1
,1
=,1
i,1
g,1
j,1
= λ,1
t landscape documentation,1
t landscape analysis,1
application,1
t landscape planning and decision making,1
mplementation of target it landscape,1
governance of it landscape management,1
sme perspective,1
"pforzheim, germany",1
technological factors,1
organizational factors,1
environmental factors,1
table 1. company and participant demographics,1
years +,1
data analysis and discussion,1
perceived cost reduction,1
system performance and availability risk,1
mproved it reliability,1
data security risk,1
"small business act 102 (1996),",1
diagnostics,1
methodological approach,1
trace alignment,1
pre-processing aligned traces,1
tree of building blocks,1
nput: matrix a,1
output: tree of building blocks,1
= a,1
: if c,1
: if |cl| < 1 then,1
:  if |cl| < 1 then,1
:   if |cl| < 1 then,1
:    if |cl| < 1 then,1
endif,1
ø then,1
endfor,1
fig. 1. trace alignment,1
fig. 2. process de-composition,1
mining projects oriented to smes,1
a proposal of effort estimation method,1
dmcomo estimation method,1
smes' information mining projects,1
ost drivers,1
ost drivers related to the project,1
alue,1
estimation formula,1
alidation of the proposed estimation method,1
real effort,1
business,1
objectives,1
nformation,1
mining objectives,1
(men x,1
month),1
mm23,1
mm8,1
b,1
u,1
p,1
r,1
m,1
e,1
k,1
p1,1
p2,1
p3,1
p4,1
p5,1
p6,1
p7,1
p8,1
p9,1
p10,1
obty,1
eco,1
arep,1
qtum,1
qtua,1
klds,1
kext,1
pem,1
dmcomo,1
ref - mm8,1
mm23 ref - mm23,1
ref - pem relative,1
error,1
14.3%,1
54.0%,1
56.1%,1
43.8%,1
30.9%,1
table 13. (continued),1
measuring the impact of suspension,1
on the process enactment environment,1
during process evolution,1
resume the process enactment,1
(2) suspension-base indicating,1
d = 1,1
effect of rptu on suspension throughput,1
fig. 6. suspension-base with varying,1
fig. 7. backlog-summit with varying,1
fig. 8. mean absolute deviation of,1
fig. 9. mean absolute deviation of,1
"fig. 10. throughput over time, with",1
"fig. 11. throughput over time, with",1
fig. 17. suspension-start with varying,1
fig. 18. mean absolute deviation of,1
onclusion and future research,1
theoretical background and research question,1
fig. 1. organization structure of gbs,1
t at gbs (graduate business school),1
erp implementation context,1
erp selection and implementation process,1
ommunication,1
analysis of the case,1
motivation for erp adoption,1
user perceptions during erp implementation,1
hanged job characteristics,1
technical issues and decisions,1
understanding the erp system use in budgeting,1
w. uppatumwichian,1
research method and case description,1
table 1. case company description,1
ontradiction at the structural level,1
onclusions and implications,1
appendix 1: interview guide,1
appendix 2: coding example,1
to define maintenance strategies,1
reliability centered maintenance,1
t. clemente et al.,1
main steps of the rcm,1
maintenance management system requirements,1
a dss for maintenance management,1
main flow of the functional module,1
definition of maintenance actions,1
has thoughts about competitive advantage,1
b. johansson,1
erp and competitive advantage seen from the,1
resource-based view,1
table 1. the vrio framework [23],1
nfluence requirements feedback,1
oncluding remark and future research,1
towards a business network management,1
d. ritter,1
the virtualized business network,1
fig. 3. business network mining extended,1
business network management,1
the business network management prototype,1
"sap process integration (2012),",1
enters eis patterns,1
an inoculable workflow engine,1
onclusions and further directions,1
elicitation in information mining projects,1
"information mining research group,",1
"information systems research group,",1
d. mansilla et al.,1
state of current practice,1
project managment,1
understanding,1
dentification of information,1
mining process,1
business conceptualization,1
business definition,1
fig. 1. information mining process phases,1
business conceptualization phase,1
business definition phase,1
table 3. concept structure,1
dbr,1
dog,1
awl,1
dmg,1
wmg,1
business description,1
process execution,1
table 6. identified business concepts,1
property,1
ustomer,1
to offer a property,1
nterested,1
delivery: a case at the belgian railways,1
ntroduction: challenges and strategic intent,1
external challenges,1
nternal challenges,1
lutin et al.,1
strategic intent,1
transforming ictra,1
starting from the vision,1
adopting a new ict operating model,1
fig. 2. new organizational structure,1
finance transformation project,1
fig. 3. transforming ictra: building blocks,1
establish commitment,1
gain credibility,1
fig. 4. cost chargeback model,1
prove competence,1
outcome and conclusion,1
models from a user's perspective,1
a. van looy,1
preliminary results,1
costs,1
purpose,1
architecture details,1
architecture type,1
capabilities,1
nr. of processes,1
type of processes,1
availability,1
duration,1
nr. of questions,1
rating scale,1
respondents,1
assessment criteria,1
mprovement criteria,1
non-design criteria,1
become an organizing vision for enterprise,1
loud computing in denmark?,1
"herbertnathan & co, copenhagen, denmark",1
[19].,1
s innovations as organizing visions,1
"sap. sap business bydesign (2012),",1
effect of erp implementation on the company,1
efficiency - a macedonian case,1
"reep 1, 9000 gent, belgium",1
the situation in macedonia,1
j. devos et al.,1
the case study company,1
findings from the employees' survey,1
and 5,1
feel,1
findings from the company's annual reports,1
table 4. financial indicators,1
in the banking sector,1
nformation security policy,1
employee awareness,1
access control,1
top level management support,1
orporate governance,1
onceptual framework,1
nformation security in the banking sector,1
enterprise information system,1
awareness,1
tlms,1
security policy,1
the gramm-leach-bliley act,1
nformation officers in the banking sector,1
onclusions and future research,1
cyber-ark,1
"fdic law, regulations, related acts,",1
group preference aggregation,1
based on electre methods,1
for erp system selection,1
model proposed,1
table 2. decision matrix,1
0.3 4 0.7 1.8,1
0.7 5 0.4 2.0,1
table 6. matrix of global evaluation,1
table 7. global ranking of alternatives,1
final remarks and conclusions,1
(2004),1
omparison of critical success factors,1
leyh and l. crenze,1
research methodology - literature review,1
dentified,1
papers,1
ritical success factors for it projects,1
factor,1
number of,1
instances,1
omparison of the critical success factors,1
onclusion and limitations,1
rank,1
sfs for erp system,1
sfs for it projects,1
implementations,1
[number of,1
instances],1
erp system configuration,1
no match,1
business process reengineering,1
external consultants,1
endor relationship and,1
support,1
data accuracy,1
erp system tests,1
nterdepartmental cooperation,1
use of a steering committee,1
knowledge management,1
resource management,1
working conditions,1
background and context,1
"research problem, objective and scope",1
enterprise resource planning systems,1
role and challenges of knowledge management,1
gaps in the literature,1
research paradigm and approach,1
preliminary findings,1
knowledge management challenges,1
mplementing behavior driven development,1
in an open source erp,1
ntroducing bdd,1
bdd in erp5,1
. erp5's basic sales opportunity process,1
sector: is sap erp all-in-one capable to meet,1
specific requirements?,1
situation before sap implementation,1
mplementation and its specific features,1
"sap business all-in-one,",1
of business process models*,1
the ψ -theory,1
a. caetano  et al.,1
the operation axiom,1
the transaction axiom,1
order phase,1
result phase,1
the analysis method,1
fig. 1. input b,1
generate the dem,1
o models (step 2),1
fig. 2. incomplete process str,1
revise the demo m,1
models (step 3),1
fig. 3. construction model,1
rocess model (step 4),1
revise the input pr,1
fig. 4. identification of,1
results of application,1
for business software,1
n. ferreira  et al.,1
fig. 1. the v+v process approach,1
-model process assessment with arid,1
process- to product-level transition,1
omparison with related work,1
mproving agile software development,1
with domain ontologies,1
s. m. dos santos forghieri pereira,1
f. pires,1
p. l. de souza et al.,1
ontologies,1
fig. 37.1 hero (from [11]),1
ufscar ontologies,1
ufscar medicine programme,1
fig. 37.2 ufscar ontology (in owlviz),1
fig. 37.3 ufscar medicine,1
fig. 37.4 constructivist spiral,1
evaluation process ontology,1
user story and scenario ontology,1
fig. 37.5 evaluation process,1
fig. 37.6 evaluation process,1
narrative:[story title],1
n order to[benefit],1
as a[role],1
want to[feature],1
senario:[scenario title],1
given[main context],1
and[additional contexts],1
when[specific event],1
then[main outcome],1
and[additional outcome],1
"artif. intell. appl. 46, 03-15 (1998)",1
total citations: 2,1
total downloads: 61,1
federal university of pernambuco,1
joão pedro santos,1
"nformatics center, federal university",1
thaís rocha,1
paulo borba,1
of pernambuco,1
"recife, brazil",1
motivação,1
a ferramenta taiti,1
extensão de taiti,1
pré-processamento de dependências do,1
projeto,1
processamento de dependências do projeto,1
extração de dependências de testi,1
ntegração à taiti,1
estudo empírico,1
seleção de projetos,1
extração de tarefas e suas interfaces,1
falsos positivos.,1
projetos distintos.,1
resultados por projeto,1
"± 19, 6(76, 1)",1
"± 13, 2(32, 9)",1
"± 14, 8(76, 2)",1
"± 12, 6(70, 8)",1
"± 1, 8(18)",1
resultados por tarefa,1
alidade externa,1
análise manual de testidep,1
ameaças à validade,1
alidade interna,1
onsiderações finais,1
"(2019), 176-195.",1
ntegrating behavior driven development,1
and programming by contract,1
schoeneman and j.b. liu,1
want to [useraction],1
fig. 1. r,1
ontracted beh,1
avior driven development,1
mplementing kime,1
expected input,1
want to [action],1
a set of templates,1
a set of unit tests,1
parsing entity definitions,1
parsing gherkin,1
data structures for entity definitions,1
schoeneman and,1
fi,1
ig. 3. entity definition class diagram,1
kin parsed forms,1
data structures for gherk,1
fig. 4. gherkin data structures,1
razor engine interface,1
a simple provider patter,1
razor templates for code,1
e generation,1
unit tests,1
bdd analysis,1
arger validated c,1
hoare logic rules,1
unit test,1
"t = (cu, ct, p, r)",1
ontract annotated code,1
user centered design practices,1
ntegration with existing tools,1
ntuitive,1
ntuitive design: framing a,1
software test system as a status,1
reporting tool for business,1
haehan so,1
republic of korea,1
july 2016,1
paper type research paper,1
jedt,1
",2",1
a new approach: user-centered design,1
related literature,1
the art-communicator framework,1
present value to business stakeholders,1
the case study,1
rq1: intuitive understanding,1
rq2: work reduction,1
validation with other case studies,1
adaptations in other contexts,1
about the author,1
specifications: a controlled experiment,1
"florian häser∗, michael felderer, ruth breu",1
dsls for behavior driven development,1
research objectives and questions,1
hypotheses and variables,1
independent variables,1
dependent variables,1
subjects,1
to 4.,1
objects,1
instrumentation,1
analysis procedure,1
data collection procedure,1
evaluation of validity,1
performed data collection,1
validity procedure,1
descriptive statistics,1
interpretation,1
analysis of results and implications,1
limitations of study,1
lesson learned,1
(4) (2009) 1149-1160.,1
total downloads: 405,1
published: 21 july 2014,1
tariq m. king,1
gabriel nunez,1
dionny santiago,1
adam cando,1
ody mack,1
ultimate way,1
"weston, fl 33326, usa",1
ategories and subject descriptors,1
general terms,1
hallenges,1
test comprehensibility,1
test traceability,1
test documentation,1
test selection,1
egend,1
test fragility,1
overview,1
domain-specific web testing,1
story linking and navigation,1
model-based automation,1
test template generation,1
test inventory synchronization,1
entralized test tagging,1
formal aspects,1
of computing,1
egislation-driven development of a,1
gift aid system using event-b,1
david m. williams,1
", salaheddin darwish",1
", steve schneider",1
", and david r. michael4",1
egislation,1
gherkin scenarios,1
given today is <day>,1
then i should be told <answer>,1
event-b machines,1
status s,1
any t where,1
machine machinename,1
refines [abstractmachinename],1
sees [contextname],1
"ariables v0, .., vn",1
nvariants i(v),1
events,1
when a donor performs <action>,1
then the donation is marked <newstate>,1
when a charity performs markwarranted,1
then the donation is marked warranted,1
then a declaration is <result>,1
when the tax year ends,1
m0 core functionality,1
m1 with numerical values,1
m2 finer grained time,1
≺,1
processing a donation,1
m0-core functionality,1
machine m0,1
sees [c0],1
nvariants,1
status ordinary,1
any donor where,1
"any donor, donation where",1
"any donor, donation, declarationid where",1
m1-with numerical values,1
machine m1,1
refines [m0],1
sees [c1],1
"any donor, donation, amount where",1
m2-finer grained time,1
machine m2,1
refines [m1],1
sees [c2],1
ariant totalnewdays − time,1
"any donor, exprtime where",1
status convergent,1
cancelling a donation/declaration,1
reversing a cancellation,1
may 2019,1
maintaining behaviour driven development,1
specifications: challenges and opportunities,1
"nance, test suite evolution",1
b. respondents,1
a. survey design,1
benefits of bdd,1
rate (%),1
hallenges of bdd,1
b. perceived benefits and challenges,1
challenges of maintaining bdd specifications,1
d. duplication in bdd suites,1
"miss some 'include' keyword.""",1
e. opportunities,1
hallenge,1
opportunity,1
ink to related literature,1
ieee international conference on.,1
software evolution week-ieee conference on.,1
total downloads: 158,1
published: 17 october 2018,1
rousiany lemos,1
eilton lima rocha,1
state university of ceara,1
federal university of ceara,1
patrícia mello,1
mestrado acadêmico em ciência,1
da computação - uece / instituto,1
pablo ximenes,1
mestrado e doutorado acadêmico,1
nstituto atlântico,1
fortaleza ce brasil,1
detran - ce,1
atlântico,1
leilton lima rocha,1
ana luíza bessa,1
mariela i. cortés,1
da computação - uece,1
•software,1
its,1
engineering→software,1
reference → empirical studies,1
business intelligence (bi),1
bases teóricas,1
bdd em projetos de bi,1
fase inicial do projeto e uso do bdd,1
relato de experiência,1
o projeto gissa,1
início do desenvolvimento,1
a primeira release,1
lições aprendidas da sprint 14,1
soluções adotadas,1
análise sobre o abandono do uso do bdd no,1
projeto gissa,1
conclusões,1
"gabriel oliveira, sabrina marczak",1
"behavior-driven development, empirical study",1
a. traditional requirements,1
b. behavior-driven development,1
task 1,1
task 2,1
task 3,1
task 4,1
b. design description,1
a. fictional products,1
"a practitioner's perspective,"" 2014.",1
on the understanding of bdd scenarios',1
quality: preliminary practitioners',1
opinions,1
behavior-driven development · empirical study,1
g. oliveira and s. marczak,1
fig. 1. research design,1
employees).,1
or 2 given steps,1
"technol. 77, 61-79 (2016)",1
ontological syntax highlighting,1
february 2026 09:01:58,1
ase tools and methodologies,1
syntax highlighting,1
then [result - coordination/production fact],1
perform bdd testing.,1
collect data from code coverage.,1
proposal of implemetation in ide,1
with a behavior driven development approach,1
system integration testing,1
a. v -cycles,1
b. test procedures management,1
a. domain specific languages,1
needs,1
b. projectional vs textual editors,1
a dstl workbench,1
a. the big picture explained,1
b. dstls and gherkin language,1
dstls and bdd approach,1
cases studies,1
d. the pivot language,1
a. ata 21,1
e. expected benefits,1
b. ata 42,1
"test language ( [15]),",1
a. test language,1
agility in an avionic context,1
electronic communications of the easst,1
olume 079 (2020),1
nteractive workshop,1
etaps 2020 workshop,1
(interavt 2020),1
artefacts,1
pages,1
"thiago rocha silva, brian fitzgerald",1
scenario n: [title],1
/ 9,1
automated verification of software artefacts,1
step of scenario,1
task name,1
rule head (if),1
rule tail (then),1
entities,1
non-hierarchical relationships,1
ardinality,1
hierarchical relationships,1
challenges and conclusions,1
predicting co-changes between functionality,1
aidan z.h. yang,1
daniel alencar da costa,1
ying zou,1
"hanges, empirical software engineering",1
.feature files and source code files?,1
sary?,1
source code files?,1
.feature changes,1
source code changes,1
experiment setup,1
determine,1
eliminate,1
select projects,1
ture files and source code files?,1
project (username/project-name),1
year created,1
total commits,1
pull requests,1
if,1
attribute name,1
rationale,1
a. construct validity.,1
b. testing strategies,1
co-changes,1
b. internal validity.,1
external validity.,1
d. traceability,1
a. bdd,1
e. requirements engineering,1
for electronic health record systems,1
agile conference,1
a. legislation and software,1
test suites,1
b. ehr software certicfication,1
d. bdd concepts,1
e. bdd frameworks,1
"acm/ieee 32nd international conference on,",1
february 2026 08:42:32,1
"03 ostrava, czech republic",1
ntroduction and motivation,1
figure 1. the standard transaction pattern,1
feature [title],1
figure 2. the bdd scenario template,1
oupling transactions and bdd scenarios,1
feature order processing - t01,1
want to dispatch order,1
scenario: completation of order,1
then [coordination/production fact],1
when i finish packaging,1
scenario descriptions,1
"pendik, istanbul, turkey",1
"tools, techniques and languages",1
feature: exporting,1
using,1
namespace,1
{,1
},1
preparing scenario templates,1
feature: report,1
scenario: report,1
and add kpi 'calldrop%',1
when i click,1
and 'calldrop%' should be,1
scenario: counter,1
and add,1
namespace piweb autotest,1
isting 6 a sample reported issue,1
open,1
create a report,1
select,1
add kpi,1
click,1
expected: report,1
actual: exception,1
set,1
actual: webserviceerror,1
scenario: 2g_cell,1
executing test cases,1
(19 %),1
(40 %),1
total downloads: 205,1
published: 19 september 2016,1
federal university of sao joao del-rei,1
federal university of rio grande do norte,1
ss-bdd: automated acceptance testing,1
for spreadsheets,1
eiji adachi barbosa,1
ara almeida,1
federal university of,1
elder cirilo,1
rio grande do norte,1
são joão del-rei,1
stock!product,1
stock!quantity,1
stock!unityprice,1
=c3*d3,1
=c4*d4,1
=c5*d5,1
=sum(e3:e11),1
github.com/cucumber/cucumber/wiki/gherkin,1
jbehave.org,1
poi.apache.org,1
spreadsheets,1
testing spreadsheets,1
feature: acquired items go to inventory,1
scenario: the inventory value is updated,1
given i have acquired new sweaters,1
a - spreadsheet behaviours as,1
b - scenarios translated into,1
- the spreadsheet,1
d - execution report,1
ss-bdd framework,1
the ss-bdd approach,1
scenarios templates,1
given i have acquired new <stock!product>,1
when <stock!quantity> new are acquired by,1
ss-bdd,1
apache poi,1
sscell,1
ssscenario,1
sscontext,1
formula evaluator,1
sscellvalue,1
ssstep,1
ssstepexecution,1
workbook,1
nventory ss,1
nventoryssstep,1
nvetoryssstory,1
junitystory,1
names in spreadsheets and parameters in,1
scenarios template,1
fault model,1
test cases implementation,1
framework design and implementation,1
teste script execution control,1
public class sscssstep extends ssstep {,1
detected faults,1
fault type,1
hc,1
sc,1
all,1
table 2. faults injected and detected,1
njected/detected faults,1
automatic generation of test scripts,1
ss-bdd in practice,1
user-friendly reports,1
test adequacy criterion for spreadsheets,1
excel and google sheets add-ins,1
cucumber.io,1
junit.org,1
(1) (2007) 71-95.,1
scenario-based microservice retrieval,1
using word2vec,1
smsr(scenario-based microservice retrieval,1
a. behavior-driven development and gherkin,1
b. word2vec,1
parameter name,1
x-scenario,1
x-category,1
x-language,1
x-framework,1
x-data-format,1
experiments anddiscussions,1
a. comparison methods,1
r and microservice s;,1
experiment results,1
conculsion,1
total citations: 18,1
total downloads: 352,1
published: 16 october 2020,1
system validation,1
"westfalen, germany",1
"nordrhein-westfalen, germany",1
germany,1
"paderborn, nordrhein-westfalen, germany",1
dortmund university of applied sciences,1
gofried wilhelm leibniz university hannover,1
automotive system validation,1
arsten wiecher,1
sergej japs,1
ydia kaiser,1
dortmund university of applied,1
fraunhofer iem,1
"paderborn, germany",1
sciences and arts,1
"dortmund, germany",1
joel greenyer,1
roman dumitrescu,1
arsten wolff,1
eibniz universität hannover,1
"hannover, germany",1
bizdevops,1
automotive systems engineering,1
model-based requirements engineering,1
table 1: requirements for plug lock,1
req1,1
req2,1
req3,1
req4,1
req5,1
req6,1
example of application,1
scenario modeling language for kotlin,1
(smlk),1
figure 1: example of application,1
isting 1: smlk scenario specification,1
feature: plug lock,1
scenario: lock request (req2),1
example based on req2,1
scenarios in the loop (scil),1
ommunication and documentation (c&d),1
ayer,1
(10).,1
clarify customer,1
test software,1
test system,1
figure 2: idealized scil process,1
modeling layer,1
mented system,1
summary of the scil results,1
alidation layer,1
scenario: no lock request (req1),1
scenario: finish actuation (req4),1
